snp_candidate,libdem_vote,labour_share,ukip_vote,conservative_share,green_vote,green_swing,labour_vote,ukip_share,libdem_swing,constituency_code,conservative_candidate,ukip_swing,green_share,majority,ukip_candidate,conservative_swing,green_candidate,labour_candidate,conservative_vote,snp_swing,turnout,snp_share,snp_vote,libdem_share,libdem_candidate,labour_swing
,3433,18.4,10798,52.5,2467,2.5,10580,18.8,-16.8,E14000536,Damian Green,14.3,4.3,CON,Gerald O'Brien,-1.7,Mandy Rossi,Brendan Chilton,30094,,67.3,,,6.0,Debbie Enever,1.8
,4062,11.2,8154,60.8,3606,6.4,6324,14.4,-20.7,E14000534,Nick Herbert,8.8,6.4,CON,Peter Grace,3.0,Isabel Thurston,Christopher Wellbelove,34331,,73.1,,,7.2,Shweta Kapadia,2.6
,943,49.8,8468,22.1,1531,3.9,19366,21.8,-12.4,E14000537,Tracy Sutton,17.4,3.9,LAB,Maurice Jackson,-2.6,Charlotte Hughes,Angela Rayner,8610,,57.5,,,2.4,Carly Hicks,1.4
,4235,26.7,4047,53.0,1983,3.9,13481,8.0,-17.1,E14000532,Graham Brady,4.8,3.9,CON,Chris Frost,4.0,Nick Robertson-Brown,James Wright,26771,,70.2,,,8.4,Jane Brophy,4.3
,7030,41.0,10150,22.4,,,19448,21.4,-18.5,E14000535,Helen Harrison,19.5,,LAB,Simon Ashcroft,0.2,,Gloria De Piero,10628,,61.5,,,14.8,Philip Smith,7.3
,1330,22.4,7751,52.0,826,-0.1,8835,19.6,-14.3,E14000531,Wendy Morton,19.6,2.1,CON,Anthony Thompson,-7.3,Martyn Curzey,John Fisher,20558,,65.6,,,3.4,Ian Garrett,2.6
,562,57.7,9554,16.3,879,1.3,24826,22.2,-6.9,E14000540,Mina Rahman,19.3,2.0,LAB,Roger Gravett,-1.5,Tony Rablen,Margaret Hodge,7019,,58.1,,,1.3,Peter Wilcock,3.4
,5885,15.1,10925,50.7,2135,3.9,8391,19.7,-17.8,E14000538,David Lidington,12.9,3.9,CON,Chris Adams,-1.5,David Lyons,William Cass,28083,,68.7,,,10.6,Steven Lambert,2.5
,1217,54.7,9045,14.6,,,21079,23.5,-15.0,E14000542,Katharine Harborne,19.0,,LAB,Robert Swiffen,-1.9,,Michael Dugher,5622,,55.7,,,3.2,Ruth Coleman-Taylor,7.7
,4076,18.3,8253,50.6,2025,4.4,8468,17.9,-25.6,E14000530,Gerald Howarth,13.4,4.4,CON,Bill Walker,3.9,Carl Hewitt,Gary Puffett,23369,,63.8,,,8.8,Alan Hilliar,6.2
,1169,42.3,5070,40.5,1061,1.3,18320,11.7,-7.3,E14000543,Simon Fell,9.8,2.5,LAB,Nigel Cecil,4.2,Rob O'Hara,John Zak Woodcock,17525,,63.3,,,2.7,Clive Peaple,-5.8
,1360,34.8,7263,44.0,1087,2.4,15901,15.9,-11.5,E14000533,Nigel Mills,13.9,2.4,CON,Stuart Bent,5.4,John Devine,Kevin Gillott,20106,,65.1,,,3.0,Kate Smith,-2.7
,3440,21.3,8050,53.0,2686,2.9,12354,13.9,-14.5,E14000539,Victoria Prentis,8.9,4.6,CON,Dickie Bird,0.2,Ian Middleton,Sean Woodcock,30749,,67.1,,,5.9,John Howson,2.1
,770,55.7,7941,15.0,938,2.6,20376,21.7,-15.2,E14000541,Kay Carter,17.1,2.6,LAB,Lee Hunter,-2.3,Michael Short,Dan Jarvis,5485,,56.7,,,2.1,John Ridgway,8.5
,1636,23.7,8538,52.7,,,10186,19.8,-11.9,E14000544,John Baron,16.0,,CON,George Konstantinidis,-0.1,,Gavin Callaghan,22668,,62.9,,,3.8,Martin Thompson,0.6
,2396,43.2,9080,31.2,1232,1.3,21826,18.0,-11.1,E14000548,Imtiaz Ameen,18.0,2.4,LAB,Aleks Lukic,-2.3,Ian Bullock,Jo Cox,15769,,64.4,,,4.7,John Lawson,1.0
,1331,48.6,7865,30.7,1006,2.0,23965,16.0,-8.5,E14000546,Sarah Downes,12.4,2.0,LAB,David Scott,-3.2,Kris Wragg,John Mann,15122,,63.6,,,2.7,Leon Duveen,-1.8
,3378,19.4,6108,57.3,1878,2.6,9484,12.5,-13.7,E14000551,Bob Stewart,9.3,3.8,CON,Rob Bryant,-0.6,Ruth Fabricant,Marina Ahmad,27955,,72.4,,,6.9,Anuja Prashar,5.0
,3919,27.7,8290,48.6,,,14706,15.6,-17.1,E14000545,Maria Miller,11.5,,CON,Alan Stone,-2.0,,Paul Harvey,25769,,66.6,,,7.4,Janice Spalding,7.3
,3927,11.4,7310,63.2,2231,2.7,6074,13.8,-12.2,E14000550,Dominic Grieve,8.8,4.2,CON,Tim Scott,2.2,Dave Hampton,Tony Clements,33621,,69.6,,,7.4,Peter Chapman,-0.3
,2241,36.8,1586,52.4,1682,2.2,18792,3.1,-10.3,E14000549,Jane Ellison,2.1,3.3,CON,Christopher Howe,5.0,Joe Stuart,Will Martindale,26730,,67.1,,,4.4,Luke Taylor,1.7
,2395,61.2,3219,15.2,4906,7.6,32387,6.1,-15.6,E14000555,Matthew Smith,6.1,9.3,LAB,Paula McQueen,1.3,Alistair Polson,Rushanara Ali,8070,,63.9,,,4.5,Teena Lashmore,18.3
,14000,13.2,2922,37.8,5634,9.6,6216,6.2,-26.9,E14000547,Ben Howlett,4.3,11.9,CON,Julian Deverell,6.4,Dominic Tristram,Ollie Middleton,17833,,77.5,,,29.7,Steve Bradley,6.3
,2900,25.0,8794,48.1,1802,2.1,13160,16.7,-17.2,E14000556,Graham Stuart,13.2,3.4,CON,Gary Shores,1.0,Richard Howarth,Margaret Pinder,25363,,65.2,,,5.5,Denis Healy,3.9
,4199,14.1,10170,54.8,2807,5.1,7797,18.4,-20.4,E14000557,Huw Merriman,18.4,5.1,CON,Geoffrey Bastin,3.2,Jonathan Kent,Michelle Thew,30245,,70.1,,,7.6,Rachel Sadler,2.2
,1308,26.2,9182,47.3,950,1.3,11451,21.0,-9.7,E14000558,David Evennett,17.4,2.2,CON,Chris Attard,-3.2,Stella Gardiner,Stef Borella,20643,,67.4,,,3.0,Richard Davis,-0.3
,11689,14.9,4513,41.1,1488,3.7,6042,11.2,-14.8,E14000554,Anne-Marie Trevelyan,7.9,3.7,CON,Nigel Coghill-Marshall,4.4,Rachael Roberts,Scott Dickinson,16603,,69.6,,,28.9,Julie Pörksen,1.8
,17657,43.1,3254,11.8,2023,2.3,22146,6.3,-14.0,E14000553,JP Floru,6.3,3.9,LAB,Andrew Beadle,-5.3,William Lavin,Neil Coyle,6051,,63.8,,,34.3,Simon Hughes,13.8
,1958,40.2,4434,42.6,1412,2.2,18528,9.6,-15.6,E14000552,Richard Fuller,7.1,3.1,CON,Charlie Smith,3.7,Ben Foley,Patrick Hall,19625,,66.5,,,4.2,Mahmud Henry Rogers,4.3
,1396,67.6,3838,14.9,1626,4.2,26468,9.8,-15.0,E14000559,Clark Vasey,9.8,4.2,LAB,Wayne Harling,-4.1,Kenny Peers,Frank Field,5816,,62.7,,,3.6,Allan Brame,5.1
,5459,59.8,2131,17.7,2200,4.7,28147,4.5,-13.0,E14000562,James Bird,2.6,4.7,LAB,Rashpal Mondair,2.7,Elly Stanton,Roger Godsiff,8329,,61.6,,,11.6,Jerry Evans,26.9
,2624,68.4,4651,11.5,835,2.0,28069,11.3,-21.3,E14000563,Kieran Mullan,9.7,2.0,LAB,Albert Duffen,-0.2,Chris Nash,Liam Byrne,4707,,54.5,,,6.4,Phil Bennion,16.4
,965,45.6,6040,30.8,948,2.7,15824,17.4,-13.4,E14000561,Robert Alden,15.0,2.7,LAB,Andrew Garcarz,-1.8,Joe Belcher,Jack Dromey,10695,,53.3,,,2.8,Ann Holtom,3.8
,1184,44.8,4154,38.3,1371,2.2,18518,10.1,-12.5,E14000560,Luke Evans,8.3,3.3,LAB,Graham Short,0.7,Phil Simpson,Gisela Stuart,15812,,63.0,,,2.9,Lee Dargue,4.2
,1374,73.6,1805,12.7,1501,1.8,26444,5.0,-23.6,E14000564,Isabel Sigmac,2.5,4.2,LAB,Clair Braund,0.8,Margaret Okole,Shabana Mahmood,4576,,52.7,,,3.8,Shazad Iqbal,18.0
,2001,57.4,5032,21.5,1330,3.2,23697,12.2,-17.1,E14000566,Charlotte Hodivala,8.2,3.2,LAB,Harjinder Singh,0.2,James Lovatt,Khalid Mahmood,8869,,59.0,,,4.8,Arjun Singh,7.1
,2517,47.7,5755,29.0,2301,3.7,21584,12.7,-16.7,E14000567,Alex Boulter,10.3,5.1,LAB,Steven Brookes,-2.1,Clare Thomas,Steve McCabe,13137,,60.3,,,5.6,Colin Green,9.1
,1723,41.4,7015,32.5,1545,3.9,16307,17.8,-18.0,E14000569,Christopher Adams,15.1,3.9,LAB,Rhys Burriss,6.2,Thom Robinson,Helen Goodman,12799,,59.6,,,4.4,Stephen White,2.4
,1349,41.6,7106,35.7,1169,1.8,17673,16.7,-12.5,E14000565,Rachel Maclean,13.5,2.8,LAB,Keith Rowe,2.1,Anna Masters,Richard Burden,15164,,59.4,,,3.2,Steve Haynes,1.3
,955,56.3,6280,27.3,,,24762,14.3,-13.0,E14000570,Bob Eastwood,12.2,,LAB,Dayle Taylor,1.1,,Kate Hollern,12002,,60.1,,,2.2,Gordon Lishman,8.5
,10534,41.6,6637,14.0,698,1.7,17129,16.1,-14.0,E14000568,Arun Photay,13.2,1.7,LAB,Paul Clayton,-5.2,Grant Bishop,Jess Phillips,5760,,57.0,,,25.6,John Hemming,9.4
,5497,49.2,7863,17.4,1648,3.7,22090,17.5,-17.1,E14000574,Alison Griffiths,17.5,3.7,LAB,Mark Bell,1.5,Paul McNally,David Anderson,7838,,66.4,,,12.2,Jonathan Wallace,-0.5
,874,61.9,6108,15.0,1567,4.2,22982,16.5,-11.9,E14000571,Michelle Tanfield-Johnson,13.8,4.2,LAB,Martin Power,-3.3,David Jones,Graham Stringer,5581,,51.6,,,2.4,Richard Gadsden,7.7
,2265,46.3,8584,21.7,1453,3.8,17813,22.3,-21.3,E14000575,Greg Munro,18.0,3.8,LAB,Barry Elliott,5.1,Dawn Furness,Ronnie Campbell,8346,,60.1,,,5.9,Philip Latham,1.8
