constituency_code,party_share,turnout,party_candidate,party_vote,party_name,party_swing
E14000532,53.0,70.2,Graham Brady,26771,Conservative,4.0
E14000532,26.7,70.2,James Wright,13481,Labour,4.3
E14000532,8.4,70.2,Jane Brophy,4235,Liberal Democrat,-17.1
E14000532,8.0,70.2,Chris Frost,4047,UKIP,4.8
E14000532,3.9,70.2,Nick Robertson-Brown,1983,Green Party,3.9
E14000535,41.0,61.5,Gloria De Piero,19448,Labour,7.3
E14000535,22.4,61.5,Helen Harrison,10628,Conservative,0.2
E14000535,21.4,61.5,Simon Ashcroft,10150,UKIP,19.5
E14000535,14.8,61.5,Philip Smith,7030,Liberal Democrat,-18.5
E14000535,0.3,61.5,Mike Buchanan,153,Justice for Men and Boys,0.3
E14000536,52.5,67.3,Damian Green,30094,Conservative,-1.7
E14000536,18.8,67.3,Gerald O'Brien,10798,UKIP,14.3
E14000536,18.4,67.3,Brendan Chilton,10580,Labour,1.8
E14000536,6.0,67.3,Debbie Enever,3433,Liberal Democrat,-16.8
E14000536,4.3,67.3,Mandy Rossi,2467,Green Party,2.5
E14000531,52.0,65.6,Wendy Morton,20558,Conservative,-7.3
E14000531,22.4,65.6,John Fisher,8835,Labour,2.6
E14000531,19.6,65.6,Anthony Thompson,7751,UKIP,19.6
E14000531,3.4,65.6,Ian Garrett,1330,Liberal Democrat,-14.3
E14000531,2.1,65.6,Martyn Curzey,826,Green Party,-0.1
E14000531,0.5,65.6,Mark Beech,197,Monster Raving Loony Party,0.5
E14000537,49.8,57.5,Angela Rayner,19366,Labour,1.4
E14000537,22.1,57.5,Tracy Sutton,8610,Conservative,-2.6
E14000537,21.8,57.5,Maurice Jackson,8468,UKIP,17.4
E14000537,3.9,57.5,Charlotte Hughes,1531,Green Party,3.9
E14000537,2.4,57.5,Carly Hicks,943,Liberal Democrat,-12.4
E14000534,60.8,73.1,Nick Herbert,34331,Conservative,3.0
E14000534,14.4,73.1,Peter Grace,8154,UKIP,8.8
E14000534,11.2,73.1,Christopher Wellbelove,6324,Labour,2.6
E14000534,7.2,73.1,Shweta Kapadia,4062,Liberal Democrat,-20.7
E14000534,6.4,73.1,Isabel Thurston,3606,Green Party,6.4
E14000533,44.0,65.1,Nigel Mills,20106,Conservative,5.4
E14000533,34.8,65.1,Kevin Gillott,15901,Labour,-2.7
E14000533,15.9,65.1,Stuart Bent,7263,UKIP,13.9
E14000533,3.0,65.1,Kate Smith,1360,Liberal Democrat,-11.5
E14000533,2.4,65.1,John Devine,1087,Green Party,2.4
E14000530,50.6,63.8,Gerald Howarth,23369,Conservative,3.9
E14000530,18.3,63.8,Gary Puffett,8468,Labour,6.2
E14000530,17.9,63.8,Bill Walker,8253,UKIP,13.4
E14000530,8.8,63.8,Alan Hilliar,4076,Liberal Democrat,-25.6
E14000530,4.4,63.8,Carl Hewitt,2025,Green Party,4.4
E14000544,52.7,62.9,John Baron,22668,Conservative,-0.1
E14000544,23.7,62.9,Gavin Callaghan,10186,Labour,0.6
E14000544,19.8,62.9,George Konstantinidis,8538,UKIP,16.0
E14000544,3.8,62.9,Martin Thompson,1636,Liberal Democrat,-11.9
E14000539,53.0,67.1,Victoria Prentis,30749,Conservative,0.2
E14000539,21.3,67.1,Sean Woodcock,12354,Labour,2.1
E14000539,13.9,67.1,Dickie Bird,8050,UKIP,8.9
E14000539,5.9,67.1,John Howson,3440,Liberal Democrat,-14.5
E14000539,4.6,67.1,Ian Middleton,2686,Green Party,2.9
E14000539,1.3,67.1,Roseanne Edwards,729,National Health Action,1.3
E14000540,57.7,58.1,Margaret Hodge,24826,Labour,3.4
E14000540,22.2,58.1,Roger Gravett,9554,UKIP,19.3
E14000540,16.3,58.1,Mina Rahman,7019,Conservative,-1.5
E14000540,2.0,58.1,Tony Rablen,879,Green Party,1.3
E14000540,1.3,58.1,Peter Wilcock,562,Liberal Democrat,-6.9
E14000540,0.4,58.1,Joseph Mambuliya,183,TUSC,0.4
E14000538,50.7,68.7,David Lidington,28083,Conservative,-1.5
E14000538,19.7,68.7,Chris Adams,10925,UKIP,12.9
E14000538,15.1,68.7,William Cass,8391,Labour,2.5
E14000538,10.6,68.7,Steven Lambert,5885,Liberal Democrat,-17.8
E14000538,3.9,68.7,David Lyons,2135,Green Party,3.9
E14000548,43.2,64.4,Jo Cox,21826,Labour,1.0
E14000548,31.2,64.4,Imtiaz Ameen,15769,Conservative,-2.3
E14000548,18.0,64.4,Aleks Lukic,9080,UKIP,18.0
E14000548,4.7,64.4,John Lawson,2396,Liberal Democrat,-11.1
E14000548,2.4,64.4,Ian Bullock,1232,Green Party,1.3
E14000548,0.2,64.4,Dawn Wheelhouse,123,TUSC,0.2
E14000548,0.1,64.4,Karl Varley,53,Patriotic Socialist Party,0.1
E14000542,54.7,55.7,Michael Dugher,21079,Labour,7.7
E14000542,23.5,55.7,Robert Swiffen,9045,UKIP,19.0
E14000542,14.6,55.7,Katharine Harborne,5622,Conservative,-1.9
E14000542,3.2,55.7,Ruth Coleman-Taylor,1217,Liberal Democrat,-15.0
E14000542,1.7,55.7,Tony Devoy,647,Yorkshire First,1.7
E14000542,1.1,55.7,Kevin Riddiough,440,English Democrats,1.1
